シート種別,事業年度,予算事業ID,事業名,府省庁の建制順,政策所管府省庁,府省庁,局・庁,部,課,室,班,係,事業の目的,現状・課題,事業の概要,事業概要URL,事業区分,事業開始年度,開始年度不明,事業終了（予定）年度,終了予定なし,主要経費,備考,実施方法ー直接実施,実施方法ー補助,実施方法ー負担,実施方法ー交付,実施方法ー分担金・拠出金,実施方法ーその他,旧事業番号,整理表表示順
レビューシート,2024,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,第一期政府共通プラットフォーム（以下「第一期PF」という。）は、政府情報システムの統合・集約化や政府情報システムに必要な共通的機能に関するサービスを提供することにより、政府情報システムのITリソースの効率的利用や質の向上に貢献し、政府のITガバナンスを支える基盤としての役割を果たすことを目的とする。,第一期PFは令和５年度末をもってサービスの提供を終了することとしていたが、統合・集約化対象システムの利用終了に遅れが生じたため、令和６年度においても引続き安定運用を行うとともに、残る統合・集約化対象システムの計画的な利用終了を支援し、全統合・集約化対象システムの利用終了後、速やかに各拠点を閉鎖（施設・設備の原状回復工事等を実施）することとしている。,第一期PFの運用（共通・横断的に対策を実施することで有効なセキュリティ対策の実施を含む。）／統合・集約化対象システムの第一期PFの利用終了及び移行の支援,https://www.soumu.go.jp/main_content/000211868.pdf,前年度事業,2021,FALSE,2024,TRUE,その他の事項経費,"「開発・整備関連」／　執行額：2021年度ー千円、2022年度291,015千円、2023年度ー千円、2024年度ー千円／「運用保守関連」／　執行額：2021年度12,154,717千円、2022年度15,530,176千円、2023年度12,896,926千円、2024年度ー千円／※2023年度までは、デジタル庁一括計上予算として、レビューシート「情報システムの整備（情報通信技術調達等適正・効率化推進費（予算事業ID:0004）」を作成しておりましたが、2024年度から、個々のシステムごとのシートを作成しています。",1,,,,,,,
レビューシート,2024,884,法教育の推進,16,法務省,法務省,大臣官房,司法法制部,司法法制課,,,司法制度第二係,国民一人ひとりが、法や司法の役割を十分に認識し、法やルールにのっとった紛争の適正な解決を図る力を身に付けるとともに、司法の国民的基盤を確立することを目的とする。,価値観が多様化し、複雑化した現代社会においては、法教育による司法の国民的基盤の強化が不可欠であるところ、学校現場において、法教育の担い手である教員に時間的余裕がないことや法教育スキルが未熟であることなどから、法教育の実践が十分とは言い難い現状があるため、学校現場等への支援や法教育に関する情報発信等を行う必要がある。,教員や教育関係者を含め広く広報を実施することで、国民の法教育に対する理解を促進し、併せて、有識者の意見等を踏まえた利便性の高い法教育教材や関連する補助資料を提供することにより、学校教育現場における法教育の学習機会の確保及び学習内容の充実を図る。,,前年度事業,,FALSE,,TRUE,その他の事項経費,,1,,,,,,,
レビューシート,2024,3522,ポスト５Ｇ情報通信システム基盤強化研究開発事業（AI基盤モデル及び先端半導体関連技術開発事業）,22,経済産業省,経済産業省,商務情報政策局,,情報産業課,,,,第４世代移動通信システム（４Ｇ）と比べてより高度な第５世代移動通信システム（５Ｇ）は、現在各国で商用サービスが始まっているが、更に超低遅延や多数同時接続といった機能が強化された５Ｇ（以下、「ポスト５Ｇ」）は、今後、工場や自動車といった多様な産業用途への活用が見込まれており、我が国の競争力の核となり得る技術と期待される。／本事業では、ポスト５Ｇに対応した情報通信システム（以下、「ポスト５Ｇ情報通信システム」）の中核となる技術を開発することで、我が国のポスト５Ｇ情報通信システムの開発・製造基盤強化を目指す。,ポスト５Ｇ情報通信システムは、我が国の競争力の核となり得る技術であるにも拘わらず、現在の情報通信システム市場におけるシェア(※)のほとんどを少数の海外企業が占めている状況。また、ポスト５Ｇ以降の情報通信システムにおいては、先端半導体の重要性が更に増していくと考えられるが、日本国内には、ポスト５Ｇを含む情報通信システムにおいて必要となる先端的なロジック半導体等（以下、「先端半導体」）の製造能力が無く、供給安定性等の観点で脆弱な状況にある。／（※）総務省令和5年版 情報通信白書第2部第5節１（２）　https://www.soumu.go.jp/johotsusintokei/whitepaper/ja/r05/html/nd245120.html／ 世界のマクロセル基地局市場のシェア（2022年・出荷額）において、日本企業の合計シェアは2.3％,ポスト５Ｇ情報通信システムや当該システムで用いられる半導体等の関連技術を開発するとともに、先端半導体の製造技術の開発に取り組む。／／（１）ポスト５Ｇ情報通信システムの開発（委託・補助）／　　ポスト５Ｇで求められる性能を実現する上で、特に重要なシステム及び当該システムで用いられる半導体やエッジデバイス等の関連技術を開発。／（２）先端半導体設計・製造技術の開発（補助・委託）／　　・パイロットラインの構築等を通じて、国内にない先端性を持つロジック半導体の前工程・後工程製造・設計技術を開発。（補助）／　　・先端半導体のシステム設計技術や、製造に必要な実装技術や微細化関連技術等の我が国に優位性のある基盤技術や、次世代半導体製造技術等の国際連携による開発。（委託・補助）／上記を推進する上で重要な人材育成に取り組む。（委託）,https://www.nedo.go.jp/activities/ZZJP_100172.html,前年度事業,2019,FALSE,2029,FALSE,エネルギー対策費,,1,1,,,,,,
レビューシート,2024,3522,ポスト５Ｇ情報通信システム基盤強化研究開発事業（AI基盤モデル及び先端半導体関連技術開発事業）,22,経済産業省,経済産業省,商務情報政策局,,情報産業課,,,,第４世代移動通信システム（４Ｇ）と比べてより高度な第５世代移動通信システム（５Ｇ）は、現在各国で商用サービスが始まっているが、更に超低遅延や多数同時接続といった機能が強化された５Ｇ（以下、「ポスト５Ｇ」）は、今後、工場や自動車といった多様な産業用途への活用が見込まれており、我が国の競争力の核となり得る技術と期待される。／本事業では、ポスト５Ｇに対応した情報通信システム（以下、「ポスト５Ｇ情報通信システム」）の中核となる技術を開発することで、我が国のポスト５Ｇ情報通信システムの開発・製造基盤強化を目指す。,ポスト５Ｇ情報通信システムは、我が国の競争力の核となり得る技術であるにも拘わらず、現在の情報通信システム市場におけるシェア(※)のほとんどを少数の海外企業が占めている状況。また、ポスト５Ｇ以降の情報通信システムにおいては、先端半導体の重要性が更に増していくと考えられるが、日本国内には、ポスト５Ｇを含む情報通信システムにおいて必要となる先端的なロジック半導体等（以下、「先端半導体」）の製造能力が無く、供給安定性等の観点で脆弱な状況にある。／（※）総務省令和5年版 情報通信白書第2部第5節１（２）　https://www.soumu.go.jp/johotsusintokei/whitepaper/ja/r05/html/nd245120.html／ 世界のマクロセル基地局市場のシェア（2022年・出荷額）において、日本企業の合計シェアは2.3％,ポスト５Ｇ情報通信システムや当該システムで用いられる半導体等の関連技術を開発するとともに、先端半導体の製造技術の開発に取り組む。／／（１）ポスト５Ｇ情報通信システムの開発（委託・補助）／　　ポスト５Ｇで求められる性能を実現する上で、特に重要なシステム及び当該システムで用いられる半導体やエッジデバイス等の関連技術を開発。／（２）先端半導体設計・製造技術の開発（補助・委託）／　　・パイロットラインの構築等を通じて、国内にない先端性を持つロジック半導体の前工程・後工程製造・設計技術を開発。（補助）／　　・先端半導体のシステム設計技術や、製造に必要な実装技術や微細化関連技術等の我が国に優位性のある基盤技術や、次世代半導体製造技術等の国際連携による開発。（委託・補助）／上記を推進する上で重要な人材育成に取り組む。（委託）,https://www.nedo.go.jp/activities/ZZJP_100172.html,前年度事業,2019,FALSE,2029,FALSE,科学技術振興費,,1,1,,,,,,
レビューシート,2024,18556,酒類業振興支援事業,18,財務省,国税庁,国税庁,課税部,酒税課酒類業振興・輸出促進室,,,,酒類事業者による、日本産酒類のブランディング、インバウンドによる海外需要の開拓などの海外展開に向けた取組及び国内外の新市場開拓などの意欲的な取組を支援することにより、日本産酒類の輸出拡大及び酒類業の経営改革・構造転換を図るとともに、酒類業の健全な発達を促進する。,酒類の国内需要が長期的に減少傾向にあり、これまでの取組を継続するだけでは今後の需要の回復・拡大が見込めない中で、酒類事業者には、従来型の商品の開発・製造・販売等の方法にとらわれず、新たな商品・サービスの創造、新たな市場の開拓に取り組み、経営改革や酒類業界の構造転換を推進していくことが求められている。／また、日本産酒類の輸出額は近年伸長しているものの、依然として世界の酒類市場のわずか0.1％にも満たない規模にとどまっていることに鑑みれば、日本産酒類の認知度向上及び販路拡大等を通じた海外市場の一層の開拓は、酒類業の更なる発展のために必要不可欠な取組である。,酒類事業者による以下の取組を支援する。／（1）商品の差別化による新たなニーズの獲得／（2）販売手法の多様化による新たなニーズの獲得／（3）ＩＣＴ技術を活用した、製造・流通の高度化・効率化／（4）海外販路拡大、商品等の高付加価値化、インバウンドによる海外需要の開拓等の取組／（5）リソース不足に対応するための(4)の取組について、複数（３者以上）の酒類事業者が集まって推進する取組,https://www.nta.go.jp/taxes/sake/boshujoho/hojojigyo.htm,新規開始事業,2024,FALSE,,TRUE,その他の事項経費,,,1,,,,,,
