シート種別,事業年度,予算事業ID,事業名,府省庁の建制順,政策所管府省庁,府省庁,局・庁,部,課,室,班,係,支出先ブロック番号,支出先ブロック名,支出先の数,事業を行う上での役割,ブロックの合計支出額,支出先名,法人番号,所在地,法人種別,その他支出先,支出先の合計支出額,契約概要,金額,契約方式等,具体的な契約方式等,入札者数,落札率,一者応札・一者応募又は競争性のない随意契約となった理由及び改善策（支出額10億円以上）,その他の契約
レビューシート,2024,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,A,東京センチュリー株式会社ほか,4,機器・ソフトウェア等の貸付,10715267000 ,,,,,,,,,,,,,,
レビューシート,2024,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,A,,,,,日本電気株式会社,7010401022916 ,東京都港区芝５丁目７番１号,301,FALSE,11930000 ,,,,,,,,
レビューシート,2024,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,A,,,,,日本電気株式会社,7010401022916 ,東京都港区芝５丁目７番１号,301,FALSE,,第一期政府共通プラットフォームの整備に係る回線賃貸借の調達（平成27年度、平成28年度、平成30年度、平成31年度、令和２年度調達案件の継続）,11930000 ,随意契約（その他）,,0,0,,FALSE
レビューシート,2024,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,A,,,,,東京センチュリー株式会社,6010401015821 ,東京都千代田区神田練塀町３番地,301,FALSE,8909496000 ,,,,,,,,
レビューシート,2024,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,A,,,,,東京センチュリー株式会社,6010401015821 ,東京都千代田区神田練塀町３番地,301,FALSE,,政府共通プラットフォームの整備に係る機器・ソフトウェア賃貸借（PF-Standard）の調達（平成31 年度後半-平成32 年度前半移行対象システム用等,3320900000 ,国庫債務負担行為等,,0,0,,FALSE
レビューシート,2024,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,A,,,,,東京センチュリー株式会社,6010401015821 ,東京都千代田区神田練塀町３番地,301,FALSE,,政府共通プラットフォームの整備に係る機器・ソフトウェア賃貸借（PF-Standard）の調達（令和2年度後半-令和3年度前半リソース変更対象システム用等）,2979682000 ,国庫債務負担行為等,,0,0,,FALSE
レビューシート,2024,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,A,,,,,東京センチュリー株式会社,6010401015821 ,東京都千代田区神田練塀町３番地,301,FALSE,,第一期政府共通プラットフォームの整備に係る機器・ソフトウェア賃貸借（PF-Standard）の調達（平成24 年度～平成 30 年度及び令和２年度導入済機器・ソフトウェアに係る令和５年度の賃貸借並びに平成24 年度～令和２年度導入済機器に係る令和６年度の賃貸借及び令和６年度の撤去）,2608914000 ,随意契約（その他）,,0,0,現行稼動している機器を交換する場合は著しい支障が生じるおそれがあることから、同一機器を継続して使用するため同社と随意契約を行った。,FALSE
レビューシート,2024,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,A,,,,,株式会社ＮＴＴデータ,6010601062093 ,東京都江東区豊洲３丁目３番３号,301,FALSE,1772800000 ,,,,,,,,
レビューシート,2024,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,A,,,,,株式会社ＮＴＴデータ,6010601062093 ,東京都江東区豊洲３丁目３番３号,301,FALSE,,第一期政府共通プラットフォームの整備に係る施設・設備賃貸借の調達（平成 24 年度～平成 30 年度整備済施設・設備に係る令和５年度の賃貸借及び平成 24 年度～平成 31 年度整備済施設・設備に係る令和６年度の賃貸借）,1241971000 ,随意契約（その他）,,0,0,契約事業者を変更すると、既存のサービスとの互換性の要件に合致しないサービスを調達せざるを得なくなることから同社と随意契約を行った。,FALSE
レビューシート,2024,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,A,,,,,株式会社ＮＴＴデータ,6010601062093 ,東京都江東区豊洲３丁目３番３号,301,FALSE,,政府共通プラットフォームの整備に係る施設・設備賃貸借の調達（平成31年度）,271656000 ,国庫債務負担行為等,,0,0,,FALSE
