シート種別,事業年度,予算事業ID,事業名,府省庁の建制順,政策所管府省庁,府省庁,局・庁,部,課,室,班,係,事業所管部局による点検・改善ー点検結果,事業所管部局による点検・改善ー改善の方向性,事業所管部局による点検・改善－目標年度における効果測定に関する評価,外部有識者による点検ー最終実施年度,外部有識者による点検ー点検対象,外部有識者による点検ー対象の理由,外部有識者による点検ー所見,公開プロセス結果概要,行政事業レビュー推進チームの所見,行政事業レビュー推進チームの所見の詳細,所見を踏まえた改善点／概算要求における反映状況,所見を踏まえた改善点／概算要求における反映状況の詳細,反映額（一般会計）,反映額（特別会計）－会計,反映額（特別会計）－勘定,反映額（特別会計）－反映額,過去に受けた指摘事項－区分,過去に受けた指摘事項－取りまとめ年度,過去に受けた指摘事項－取りまとめ内容,過去に受けた指摘事項－対応状況,その他の指摘事項－調査等の名称,その他の指摘事項－指摘年度,その他の指摘事項－指摘内容,その他の指摘事項－対応状況
レビューシート,2024,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,・アクティビティ（利用終了支援）について、統合・集約化対象システムの利用終了に遅れが生じたため、引続き統合・集約化対象システムに対し利用終了支援を実施することとし、目標最終年度を2024年度に変更する。・アクティビティ（安定運用）について、運用・保守の実施における品質を維持し、2023年度における目標値を達成することができた。全統合・集約化対象システムの利用終了まで運用を継続するため、目標最終年度を2024年度に変更する。,残る統合・集約化対象システムの利用終了支援を確実に実施していくとともに、引続き安定運用のため、運用・保守の実施における品質の維持に努める。,,,外部有識者による点検対象外,,,,現状通り,事業の有効性・効率性・成果について、適切かつ的確に検証し、効率的執行に努めるべき。,現状通り,引き続き、事業の有効性・効率性・成果について適切かつ的確に検証し、効率的執行に努める。,,,,,,,,,,,,
レビューシート,2024,884,法教育の推進,16,法務省,法務省,大臣官房,司法法制部,司法法制課,,,司法制度第二係,法教育は、多様な人々が互いを尊重しながら共生する自由で公正な社会を支える人材の育成を目的とする重要な施策であるところ、本件事業の実施に当たっては、協議会等において有識者の知見をいかし、更なる法教育の普及・充実に向けた有効な広報活動などを検討・実施しており、必要性、効率性、有効性のいずれも満たしているといえる。協議会等の開催に当たっても、協議事項等について、重要性及び必要性等を十分に検討した上で開催するように努めており、効果的かつ充実した議論が実施されている。法教育教材の発送件数について、令和３年度が突出しているが、これは令和４年度の成年年齢引下げに備えた学校等からの需要によるものである。令和４年度以降は経費節減等を目的に法務省ホームページからのダウンロードを促しているが、上記件数にはダウンロード数が含まれていないことから、次年度以降の指標には、法教育教材のダウンロード件数を加えることができるよう検討しているところである。,法教育の推進に資するよう、引き続き、有用性及び必要性等を十分に検討した上で協議会等における協議事項等を決定し、効果的な協議会等の開催を実現するように努めるとともに、予算執行については、より一層効率的な執行に努めることとする。,,2024,書面点検,定性的な成果指標を設定した事業,定性的なアウトカムとして小中高での法務省作成の教材の利用及び充実度を調査されているが、小学校での教材利用率が低いことが課題である。今後、若年時の児童や生徒に対する法教育の推進について更なる検討を実施すべきである。,,事業内容の一部改善,各経費について執行実績を踏まえた見直しを行い、経費の削減を図るべきである。長期アウトカムについて、事業の現状・課題や目的を踏まえたものとなるよう内容を検討いただきたい。またアクティビティ２における長期アウトカムの指標が適当か、再度ご検討いただきたい。,縮減,外部有識者及び行政事業レビュー推進チームの所見を踏まえて、長期アウトカムの内容を変更した。職員旅費について、実施計画の見直しを行うことにより、経費の削減を図った。小学校での教材利用率が低いことに関して、小学校に係る法教育実践状況調査を実施するため予算要求を行い、小学校における現状の法教育教材利用率等を調査することで、小学校の生徒を含めた若年層に対する法教育の推進に取り組んでいきたい。,-569000,,,,,,,,,,,
レビューシート,2024,3522,ポスト５Ｇ情報通信システム基盤強化研究開発事業（AI基盤モデル及び先端半導体関連技術開発事業）,22,経済産業省,経済産業省,商務情報政策局,,情報産業課,,,,令和4年度に外部有識者による中間評価を実施した。○評点法による評点の結果、全ての項目について3点満点中2.2点以上であり概ね妥当という評価を得られた。○産業構造審議会の評価ワーキンググループの初見の概要は以下の通り。評価検討会の指摘を踏まえ、他省庁も含めた我が国全体としてのロードマップを描き、そのエコシステムの中での課題展開を位置付けるようにしていただきたい。,半導体・デジタル産業戦略検討会議にて、他省庁や産業界、有識者らと議論を行い、2023 年の年央を目途に半導体・デジタル産業戦略の改訂を行い、情報通信システムや半導体の技術開発についての将来的なロードマップの策定を行う。,,2024,公開プロセス,その他,,＜論点①なぜこれだけ大規模な国費を投じる必要性があるのか、引き続きわかりやすく示すべきではないか。＞〇 特定の企業に対して兆円規模の多額の国費が投じられようとされている事業であり国民の関心も高いことから、国際競争の状況や研究開発の進捗の状況を含め、具体的な事業の必要性について説明責任を果たし、引き続き透明性の向上を図るべき。○その他：① 多額の国費が投じられているため、毎年度の支援額の決定プロセスなど、わかりやすく国民に説明する必要があるのではないか。② 開発テーマの策定などにあたり、経済安全保障の観点が適切に反映されていること、事業目的であるポスト 5G 情報通信システムの基盤強化との関連性が十分確保されていることを保障する体制を強化すべき。③ 本事業は必要であると思われるが、その規模についてはいろいろな見方があり、その規模に関しての説明責任が重要である。本事業は国際競争の観点もあり、外国の事例との比較は、事業の規模の在り方を考える上で有益な情報になると思われる。国際比較の内容（支援額、GDP 比率に加え、その法式、内容）についてより詳細に行い、海外での成功事例、失敗事例、その要因を整理しておくことは、日本の事業規模・戦略を考える上で、有益であると思われる。＜論点②国の支援の在り方について引き続き検討を深めるべきではないか。＞○ 現在は国が主導する事業として企業へ委託しているが、最終的に民間主導の事業として成り立たせていくためにはどのような支援が必要なのかなど、官民の役割分担とその将来的なスケジュール感について、検討を深めるべき。＜論点③成果目標は適切なものであるか、不断に点検を行うべきではないか。＞○ 複数事業にまたがる半導体支援施策との関係性など、最終的な成果目標の達成に至るロジックモデルのブラッシュアップに努めるとともに、基金シート等を通じてわかりやすく国民に示すべき。＜その他＞① 日本の状況について、引き続き、広く冷静に把握していただきたい,事業内容の一部改善,公開プロセスでの指摘を踏まえ所要の対応を行うこと。,執行等改善,＜論点①なぜこれだけ大規模な国費を投じる必要性があるのか、引き続きわかりやすく示すべきではないか。＞ご指摘のとおり国際動向を常に注視し、国費活用の意義を検討していくことは重要と考えており、我々独自の調査だけではなく、引き続き「半導体・デジタル産業戦略検討会議」などを活用し有識者や事業者の意見を伺い、資料の公表を通じてその必要性とともに広くお示ししていきたい。また、研究開発の進捗状況についても、NEDOにて毎年度委託テーマの報告書を公表するとともに、展示会出展や成果報告会などを積極的に実施し、説明責任を果たしていく。＜論点②国の支援の在り方について引き続き検討を深めるべきではないか。＞事業化時期や考え方は開発テーマごとに異なるため一元的にお示しすることは難しいが、開発テーマの設定に際しては経済安保の観点を考慮するほか、有識者のヒアリングを踏まえ決定している。引き続き、毎年度実施している有識者による個別テーマのモニタリングなどを活用し、民間の事業化に向けた課題を明らかにし、研究開発支援に取り組んでいく。今回基金の終期を定めたことにより、民間への橋渡しに関する議論をより活性化していきたい。＜論点③成果目標は適切なものであるか、不断に点検を行うべきではないか。＞成果目標の達成に至るロジックモデルの指標について、基金シートを通じて年度途中経過をお示しするとともに、公開プロセスや外部委員からの所見の場を活用し見直しを図っていきたい。,,,,,,,"令和５年度行政事業レビュー公開プロセス　【とりまとめコメント】〇目標最終年度（令和１５年）の手前で実用化見込の割合等の中間目標を設定ができないか検討すべき。○長期アウトカムを｢実用化率５０％｣としているが、｢実用化｣といっても様々なので、経済効果に関する評価指標も加えられないか検討すべき。○長期アウトカムに実用化率が設定されているが、本事業採択による効果として別の指標も追加できないか。○実用化を含め、金額が大きいだけに、確実に効果が出るように、そしてそれが見える化できるように、取り組んでいただきたい。○当事業においても、（「先端半導体の国内生産拠点の確保」と合わせてでもよい が、）先端ロジック半導体の売上高 1.5 兆円に達成するにいたる絵を示すべき。レビューシートを見ると、業務概要がかなり細かく設定されている。各個別業務の実用化率が 50 ％が達成できたとしても果たして全体で、ポスト５ G情報 通信システム の開発、先端半導体開発の目標は達成できるのか（例えば、ある技術と技術を合わせても歯抜けになるといったことはないか）。つまり、これらの個別事業の実用化がシェア、売り上げ等につながるには相互に有機的関連があるのではないか。そのあたりを総合した売り上げ、シェアといった経済指標を長期的なアウ トカムとしては示すべきではないか。○事業の進捗を踏まえ、委託から補助への変更や事業の終期の設定などを検討し、民間企業自身にも相応の関与を求めていくべき。○委託費であるが、開発成果は、バイドール法で民間に帰属する場合があるということであるが、民間との適切な役割分担として適当か。競争力確保の観点から、それが必要であれば 、もちろんそれでよいと思うが、きちんとした説明が必要であると考える。○成果目標を適切に設定した上で、本事業の効果検証を行い、その結果を踏まえて今後必要な基金の額を適切に見積もるべき。○支援先の採択が競争的な方法により適切に行われるよう、引き続き審査体制の充実を図るべき。○ポスト５ Ｇ と、先端半導体の相互の関係がわかりにくい。これら二つがどう関連しているか示すべき。関連性が薄ければ、先端半導体は、むしろ「先端半導体の国内生産拠点の確保」と組み合わせ ることも考えられるように思う。令和３年度行政事業レビュー公開プロセスの結果、「現状通り」。　【とりまとめコメント】○ 2,000億円を民間企業に投資することで、世界市場のシェア獲得につながるのか、検証すべき。○ 市場の規模や各国の支援額と比較して2,000億円という予算規模は十分か検証すべき。○ 一者応募が多く、市場に技術開発の受け手が限られているが、何らか改善に向けた対策を検討すべき。○ 事業の受け手は大企業が多い。ポスト5Gでは委託費になっているが、こうした企業にも「応分」の負担を求めるべきではないか？○ 成果指標が開発した技術の実用化率のみになっているが、経済効果に関する指標も検討すべき。○ ポスト5Gと半導体の市場獲得に当たって、どのような状態となったら成果が上がったと言えるのか、KPIの設定について再度検討すべき。○ ポスト5Gと半導体開発の有機的結合とその実装を具体的なアウトカムとして示すべきではないか。○ 国から民間企業に支援を行うだけでなく、民間企業自身にも相応の関与を求めることを検討すべき。○ 開発による成果はバイドール法により民間に帰属するようだが、研究開発に補助＝出資した国も収益を得る仕組みがあって然るべきではないか。○ 研究開発から社会実装（ポスト5G と半導体の融合を含む）に向けた工程表を見せるべき。本来、こうした研究開発は民間企業の「本業」のはず。資金を含めて民間企業の主体性をもっと引き出すべきではないか。国（NEDO）はプラットフォーム＝研究のコーディネートに徹するのが望ましい。ポスト5G関連の場合、採択された研究機関・企業間の協力関係はどのようになっているのか、やや疑問。企業間でコンソーシアムを組ませて研究開発・社会実装に繋げることはないのか。○ 意義ある政策と考える。アピールの仕方を工夫したほうが国民の支持を得られると思う。○ Society5.0への変化を支えるとともに今後我が国が直面すると想定される経済安全保障の問題への対応として重要であり、強力に推進されることを期待したい。○ これからの世界経済の中で、この分野での日本企業の存在感を示せるように、しっかりと取り組んでほしい。日本企業の国内外の市場での活躍を期待する。",令和５年度行政事業レビュー公開プロセス・我が国として集中的に取り組むべき開発テーマを決定したうえで取り組んでいるが、市場動向や技術動向等を踏まえて、追加的に取り組むべき開発テーマがあれば、外部有識者とも議論し、追加的に取り組むことを検討する。・引き続き成果最大化に向けて取り組む。またNEDOとも連携し展示会やシンポジウム、ニュースリリース等で広報活動を行っており、引き続き積極的に広報活動を行う。・短期アウトカム目標・長期アウトカム目標は研究開発を完了したテーマを対象に順次算出・更新されるため、目標最終年度を待たずに測定が可能。・実用化については、一般的なNEDO事業の定義と同じく、上市または製品化の段階と定義。一方、本事業では、2020年代後半に実用化が見込まれる開発リスクの高い技術の研究開発を対象としており、将来の市場環境や競合との関係性を予測することが困難な中で、本事業の効果としての経済効果等を見込むことは困難であるため、長期アウトカム目標としては実用化率を設定している。なお、個別の開発テーマにおいては、売上げ目標や経済効果を採択時に審査している。・2030年に先端ロジック半導体の売上高 1.5 兆円にいたる過程については、半導体・デジタル産業戦略検討会議等の機会を通じて、外部有識者も交えて議論を進めていく。・今後新たに取り組むテーマについては原則助成とし、真に必要性が認められるものについては委託でも実施を検討する。・終期については、本事業では国際連携で研究開発に取り組む開発テーマがあり、国際連携に関する交渉を進める上では連携先のスケジュールも加味する必要があることから、事前に終期を設定することが交渉に影響を及ぼすおそれがあるため、現時点では設定しない。・委託事業で発生した知財の帰属について、研究開発成果の実用化及び競争力強化の観点から、委託先に帰属することは適切と考えている。なお、本事業に限らず一般的に、国の行う委託研究事業では、成果となる知財は委託先に帰属されることとなっている。・年1回の技術推進委員会やステージゲート審査等の外部有識者委員会等での進捗管理や、3年程度おきに実施する事業全体の中間評価により効果検証を行っている。これらの結果も踏まえつつ、さらに外部有識者との意見交換等に基づいて、必要な研究開発事業・予算は適切に要求・執行していく。・採択にあたっては、全て外部有識者からなる委員会にて審査を行っており、1者提案で不採択とした例もある。引き続き適切な審査体制となるよう経済産業省及びNEDOで事務局運営を行う。・半導体・デジタル産業戦略でも示しているとおり、我が国の諸課題の解決に向けては産業のデジタル化は不可欠であり、通信技術と半導体技術は産業のデジタル化を支える技術として一体となって発展する必要がある。また、技術開発として親和性があると考えられる。令和３年度行政事業レビュー公開プロセス・国内外の売上高／シェア獲得見通しについては、採択審査の審査対象としており、有識者により妥当性含めて判断される。例えば、ポスト５G導入期に売上高を数百億円から数千億円に拡大、シェアを数％であるところを数十％確保する等、高い目標を掲げた提案も多々ある。・先端半導体製造技術やポスト５G情報通信システムの開発に対しては十分と考えている。また、これらのユースケースについては、別の事業にて支援することを検討している。一方で、半導体製造装置など設備投資については、他国の支援よりも大幅に少ないと考えているので、追加支援について引き続き検討する。・一者応札が多いことについては、コロナ禍にあり説明会が実施できなかったことと、公募開始時のアナウンスの問題があったかもしれないので、今後公募開始時のアナウンス方法について検討する。・大企業も含めた事業の受託者は、研究開発とは別にシェア拡大に向けた取組を実施しており、定期的な進捗確認の場において、有識者も交えて状況報告を受けている。また、国費による支援額の外数で、自己投資を行うことや、委託費返還制度により、当初の成果を上げられなかった場合には委託費を返還することを求めている。・公募における提案時に経済効果について審査している。既に採択済みの事業における例としては、本事業終了後に支援額の２倍の自己投資を実施して事業化をするという計画を出して頂いている。・KPIは、開発した成果が実用化に至った件数が、先導研究以外の採択件数の50%以上となることである。例えば、半導体に関しては、半導体ラインに開発した技術が適用されることを実用化と定義する。,,,,
レビューシート,2024,18556,酒類業振興支援事業,18,財務省,国税庁,国税庁,課税部,酒税課酒類業振興・輸出促進室,,,,酒類事業者には、今後複数年に渡って事業化状況報告書を提出してもらうこととしており、補助事業の成果等を適切に把握・検証する必要がある。,事業化状況報告書から補助事業の成果等を検証し今後の施策の検討に繋げることにより、事業の改善を図る。,,,外部有識者による点検対象外,,,,事業内容の一部改善,補助金を効果的・効率的に活用していくため、当該事業の効果検証を適正に行うとともに、補助事業の成果について、業界全体へ適切にフィードバックし、酒類業振興のため、より効果的な情報発信のあり方について検討を行う。,執行等改善,補助事業の成果については、５年間、補助事業者から「事業化状況報告書」の提出を受けることとしており、その報告内容を分析し、事業の効果検証を行うとともに、他の酒類業者の参考とすべき事例をとりまとめ、国税庁ホームページで公表するなど、より効果的な情報発信の方法を検討している。,,,,,,,,,,,,
