シート種別,事業年度,予算事業ID,事業名,建制順,所管府省庁,府省庁,局・庁,部,課,室,班,係,その他担当組織_作成責任者_no,府省庁（その他担当組織）,局・庁（その他担当組織）,部（その他担当組織）,課（その他担当組織）,室（その他担当組織）,班（その他担当組織）,係（その他担当組織）,作成責任者
レビューシート,2024,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,1,デジタル庁,戦略・組織,,会計担当,,,,帆足雅史
レビューシート,2024,884,法教育の推進,16,法務省,法務省,大臣官房,司法法制部,司法法制課,,,司法制度第二係,1,,,,,,,,早渕宏毅
レビューシート,2024,1319,国連人権条約体対日理解促進プログラム関連経費,17,外務省,外務省,総合外交政策局,,人権人道課,女性参画推進室,,,1,,,,,,,,古本建彦
レビューシート,2024,3522,ポスト５Ｇ情報通信システム基盤強化研究開発事業（AI基盤モデル及び先端半導体関連技術開発事業）,22,経済産業省,経済産業省,商務情報政策局,,情報産業課,,,,1,,,,,,,,金指壽
レビューシート,2024,18556,酒類業振興支援事業,18,財務省,国税庁,国税庁,課税部,酒税課酒類業振興・輸出促進室,,,,1,,,,,,,,遠山秀治
