シート種別,事業年度,予算事業ID,事業名,府省庁の建制順,政策所管府省庁,府省庁,局・庁,部,課,室,班,係,支出先ブロック（国庫債務負担行為等による契約）,契約先名（国庫債務負担行為等による契約）,契約先の法人番号（国庫債務負担行為等による契約）,契約先の所在地（国庫債務負担行為等による契約）,契約先の法人種別（国庫債務負担行為等による契約）,契約概要（契約名）（国庫債務負担行為等による契約）,その他の契約,契約額（国庫債務負担行為等による契約）,契約方式等（国庫債務負担行為等による契約）,具体的な契約方式等（国庫債務負担行為等による契約）,入札者数（応募者数）（国庫債務負担行為等による契約）,落札率（％）（国庫債務負担行為等による契約）,一者応札・一者応募又は競争性のない随意契約となった理由及び改善策（契約額10億円以上）（国庫債務負担行為等による契約）,その他の契約（国庫債務負担行為等による契約）
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,C,アールイーマネジメント株式会社,2120001185727,大阪府大阪市中央区備後町１丁目７番１０号,301,大阪国際空港庁舎原状回復工事監理業務,f,4565000,一般競争契約（最低価格）,,2,82,,f
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,C,株式会社ライズ,4120001177301,,,大阪国際空港庁舎原状回復工事一式（機械設備改修工事・電気設備改修工事・建築／改修工事）,f,268895000,一般競争契約（最低価格）,,5,75,,f
レビューシート,2025,884,法教育の推進,16,法務省,法務省,大臣官房,司法法制部,司法法制課,,,司法制度第二係,,,,,,,,,,,,,,
レビューシート,2025,1319,女性の人権の保護・促進のための国際協力推進に係る経費（令和７年度までの予算事業名は「国連人権条約体対日理解促進プログラム関連経費」）,17,外務省,外務省,総合外交政策局,,人権人道課,女性参画推進室,,,,,,,,,,,,,,,,
レビューシート,2025,1937,ドクターヘリの導入促進（統合補助金分）,20,厚生労働省,厚生労働省,医政局,,地域医療計画課,救急・周産期医療等対策室,,,,,,,,,,,,,,,,
レビューシート,2025,3522,ポスト５Ｇ情報通信システム基盤強化研究開発事業（AI基盤モデル及び先端半導体関連技術開発事業）,22,経済産業省,経済産業省,商務情報政策局,,情報産業課,,,,,,,,,,,,,,,,,
レビューシート,2025,18556,酒類業振興支援事業,18,財務省,国税庁,国税庁,課税部,酒税課酒類業振興・輸出促進室,,,,,,,,,,,,,,,,,
レビューシート,2025,21625,新産業創出等研究開発推進事業費補助（一般会計）,19,文部科学省,文部科学省,研究振興局,,研究振興戦略官,,,,,,,,,,,,,,,,,
