シート種別,事業年度,予算事業ID,事業名,府省庁の建制順,政策所管府省庁,府省庁,局・庁,部,課,室,班,係,支出元の支出先ブロック,支出元の支出先ブロック名,担当組織からの支出,支出先の支出先ブロック,支出先の支出先ブロック名,資金の流れの補足情報,国自らが支出する間接経費,国自らが支出する間接経費の項目,国自らが支出する間接経費の金額
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,,デジタル庁,TRUE,A,株式会社ＮＴＴデータほか,,,,
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,,デジタル庁,TRUE,B,株式会社ＮＴＴデータ,,,,
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,,デジタル庁,TRUE,C,株式会社ライズほか,,,,
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,,デジタル庁,TRUE,D,ＫＯＥＩ　ＪＡＰＡＮ株式会社ほか,,,,
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,,デジタル庁,TRUE,I,東京センチュリー株式会社ほか,,,,
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,A,株式会社ＮＴＴデータほか,FALSE,E,富士通株式会社ほか,,,,
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,B,株式会社ＮＴＴデータ,FALSE,F,株式会社ＮＴＴデータＳＭＳほか,,,,
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,C,株式会社ライズほか,FALSE,G,日本メックス株式会社,,,,
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,D,ＫＯＥＩ　ＪＡＰＡＮ株式会社ほか,FALSE,H,アールクリエイト株式会社ほか,,,,
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,I,東京センチュリー株式会社ほか,FALSE,J,富士通株式会社ほか,,,,
レビューシート,2025,884,法教育の推進,16,法務省,法務省,大臣官房,司法法制部,司法法制課,,,司法制度第二係,,法務省,TRUE,A,個人Ａほか,諸謝金・旅費等の支給,,,
レビューシート,2025,884,法教育の推進,16,法務省,法務省,大臣官房,司法法制部,司法法制課,,,司法制度第二係,,法務省,TRUE,B,株式会社ＩＡＣＥトラベルほか,旅費の支給,,,
レビューシート,2025,884,法教育の推進,16,法務省,法務省,大臣官房,司法法制部,司法法制課,,,司法制度第二係,,法務省,TRUE,C,株式会社グラブデザインほか,一般競争入札（総合評価）等,,,
レビューシート,2025,1319,女性の人権の保護・促進のための国際協力推進に係る経費（令和７年度までの予算事業名は「国連人権条約体対日理解促進プログラム関連経費」）,17,外務省,,総合外交政策局,,人権人道課,女性参画推進室,,,,,,,,,,,
レビューシート,2025,3522,ポスト５Ｇ情報通信システム基盤強化研究開発事業（AI基盤モデル及び先端半導体関連技術開発事業）,22,経済産業省,経済産業省,商務情報政策局,,情報産業課,,,,,経済産業省,TRUE,A,国立研究開発法人 新エネルギー・産業技術総合開発機構,,,,
レビューシート,2025,18556,酒類業振興支援事業,18,財務省,財務省,国税庁,課税部,酒税課酒類業振興・輸出促進室,,,,,財務省,TRUE,A,株式会社オオマツほか,,,,
レビューシート,2025,18556,酒類業振興支援事業,18,財務省,財務省,国税庁,課税部,酒税課酒類業振興・輸出促進室,,,,,財務省,TRUE,B,審査員,,,,
レビューシート,2025,21625,新産業創出等研究開発推進事業費補助（一般会計）,19,文部科学省,文部科学省,研究振興局,,研究振興戦略官,,,,,文部科学省,TRUE,A,福島国際研究教育機構,,,,
